"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Dragon Quest V: Tenkuu no Hanayome","SNES",1992,"Role-Playing","Enix Corporation",0,0,2.78,0.01,2.79
"Mortal Kombat Trilogy","PS",1996,"Fighting","GT Interactive",1.98,0.7,0,0.11,2.79
"Battlefield 3","PC",2011,"Shooter","Electronic Arts",0.89,1.43,0,0.48,2.79
"NBA Street","PS2",2001,"Sports","Electronic Arts",2.19,0.22,0,0.38,2.79
"Professor Layton and the Last Specter","DS",2009,"Puzzle","Nintendo",0.3,1.47,0.68,0.34,2.79
"Monster Hunter Tri","3DS",2011,"Role-Playing","Nintendo",0.46,0.29,1.96,0.07,2.79
"Jak II","PS2",2003,"Platform","Sony Computer Entertainment",1.68,0.74,0,0.36,2.78
"inFAMOUS: Second Son","PS4",2014,"Action","Sony Computer Entertainment",1.27,0.97,0.07,0.47,2.78
"Ratchet & Clank: Going Commando","PS2",2003,"Platform","Sony Computer Entertainment",1.44,0.83,0.26,0.25,2.78
"Tekken 6","PS3",2009,"Fighting","Namco Bandai Games",1.2,0.98,0.17,0.43,2.78
"The Sims","PS2",2003,"Simulation","Electronic Arts",1.41,1.12,0,0.24,2.77
"Sonic and the Secret Rings","Wii",2007,"Platform","Sega",1.24,1.2,0.04,0.3,2.77
"Saints Row: The Third","X360",2011,"Action","THQ",1.25,1.15,0.07,0.3,2.77
"Missile Command","2600",1980,"Shooter","Atari",2.56,0.17,0,0.03,2.76
"Mario Paint","SNES",1992,"Misc","Nintendo",1.43,0.54,0.71,0.07,2.75
"Assassin's Creed IV: Black Flag","PS4",2013,"Action","Ubisoft",1.07,1.31,0.06,0.31,2.74
"Pokémon Stadium 2","N64",2000,"Strategy","Nintendo",1.02,0.36,1.13,0.23,2.73
"Metroid","NES",1986,"Action","Nintendo",1.33,0.31,1.04,0.05,2.73
"L.A. Noire","X360",2011,"Adventure","Take-Two Interactive",1.52,0.94,0.02,0.24,2.72
"Call of Duty 3","X360",2006,"Shooter","Activision",1.49,0.93,0.02,0.27,2.71
"The Legend of Zelda: A Link to the Past","GBA",2002,"Action","Nintendo",1.75,0.52,0.33,0.1,2.7
"Onimusha: Warlords","PS2",2001,"Action","Virgin Interactive",0.99,0.48,1.09,0.14,2.7
"Mortal Kombat X","PS4",2015,"Fighting","Warner Bros. Interactive Entertainment",1.47,0.76,0,0.47,2.7
"Mario Party","N64",1998,"Misc","Nintendo",1.25,0.53,0.87,0.05,2.7
"Madden NFL 12","X360",2011,"Sports","Electronic Arts",2.42,0.11,0,0.16,2.69
"LEGO Star Wars II: The Original Trilogy","PS2",2006,"Action","LucasArts",1.85,0.64,0.01,0.19,2.69
"Madden NFL 11","X360",2010,"Sports","Electronic Arts",2.38,0.12,0,0.18,2.69
"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2010,"Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69
"Skate 3","X360",2010,"Sports","Electronic Arts",1.46,0.98,0,0.24,2.68
"Burnout 3: Takedown","PS2",2004,"Racing","Electronic Arts",1.23,1.11,0,0.34,2.68
"Yokai Watch 2 Shinuchi","3DS",2014,"Role-Playing","Level 5",0,0,2.68,0,2.68
"Need for Speed: Shift","PS3",2009,"Racing","Electronic Arts",0.69,1.41,0.04,0.53,2.68
"Final Fantasy XIII-2","PS3",2011,"Role-Playing","Square Enix",0.78,0.75,0.89,0.26,2.68
"Mortal Kombat","GEN",1992,"Fighting","Arena Entertainment",1.95,0.63,0,0.09,2.67
"Call Of Duty 2: Big Red One","PS2",2005,"Shooter","Activision",1.48,0.92,0.01,0.26,2.67
"Guitar Hero: World Tour","X360",2008,"Misc","Activision",1.78,0.64,0,0.25,2.67
"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.44,1.09,0,0.14,2.67
"Fable","XB",2004,"Role-Playing","Microsoft Game Studios",1.99,0.58,0,0.09,2.66
"Hannah Montana","DS",2006,"Action","Disney Interactive Studios",1.59,0.8,0,0.26,2.65
"Tom Clancy's Splinter Cell","PS2",2003,"Action","Ubisoft",1.15,1.11,0,0.4,2.65
"Skylanders Giants","Wii",2012,"Action","Activision",1.56,0.88,0,0.22,2.65
"Medal of Honor Heroes","PSP",2006,"Shooter","Electronic Arts",0.86,1.11,0.01,0.66,2.65
"Super Mario Bros.: The Lost Levels","NES",1986,"Platform","Nintendo",0,0,2.65,0,2.65
"Star Wars: Shadows of the Empire","N64",1996,"Action","Nintendo",2,0.5,0.12,0.03,2.65
"LEGO Star Wars: The Complete Saga","X360",2007,"Action","LucasArts",1.53,0.87,0,0.24,2.64
"Midnight Club: Street Racing","PS2",2000,"Racing","Take-Two Interactive",2,0.47,0.02,0.14,2.63
"Pac-Man: Adventures in Time","PSP",2006,"Fighting","Sony Computer Entertainment",0.76,1.1,0.12,0.65,2.63
"Halo Wars","X360",2009,"Strategy","Microsoft Game Studios",1.53,0.82,0.04,0.24,2.63
"God of War Collection","PS3",2009,"Action","Sony Computer Entertainment",1.7,0.46,0.06,0.41,2.63
"ESPN NFL 2K5","PS2",2004,"Sports","Sega",2.15,0.12,0,0.36,2.62
"Mario Strikers Charged","Wii",2007,"Sports","Nintendo",1.07,1.06,0.24,0.25,2.62
"Medal of Honor","X360",2010,"Shooter","Electronic Arts",1.55,0.81,0.04,0.21,2.62
"FIFA Soccer 10","X360",2009,"Sports","Electronic Arts",0.59,1.79,0.01,0.23,2.62
"NBA 2K12","X360",2011,"Sports","Take-Two Interactive",2.31,0.14,0.01,0.16,2.62
"Style Savvy","DS",2008,"Simulation","Nintendo",0.63,0.84,0.96,0.19,2.61
"Harry Potter and the Chamber of Secrets","PS2",2002,"Action","Electronic Arts",0.9,1.22,0.04,0.44,2.61
"Super Mario All-Stars: Limited Edition","Wii",2010,"Platform","Nintendo",1.02,0.52,0.92,0.14,2.6
"Streets of Rage","GEN",1990,"Action","Sega",1.86,0.55,0.11,0.08,2.6
"FIFA Soccer 09","PS3",2008,"Sports","Electronic Arts",0.48,1.63,0.04,0.43,2.59
"Ratchet & Clank Future: Tools of Destruction","PS3",2007,"Platform","Sony Computer Entertainment",0.93,1.12,0.08,0.45,2.59
"NBA Live 2005","PS2",2004,"Sports","Electronic Arts",2.03,0.21,0,0.35,2.59
"LittleBigPlanet","PSP",2009,"Platform","Sony Computer Entertainment",0.64,1.24,0.01,0.69,2.58
"Killzone: Shadow Fall","PS4",2013,"Shooter","Sony Computer Entertainment",0.89,1.33,0.07,0.28,2.58
"Ghostbusters: The Video Game (DS Version)","X360",2009,"Action","Take-Two Interactive",1.04,1.24,0.03,0.27,2.58
"Monster Hunter Freedom 2","PSP",2007,"Role-Playing","Capcom",0.37,0.27,1.75,0.18,2.58
"WWE SmackDown vs. RAW 2007","PS2",2006,"Fighting","THQ",1.4,0.88,0.03,0.26,2.58
"Ratchet & Clank: Up Your Arsenal","PS2",2004,"Platform","Sony Computer Entertainment",1.31,0.74,0.31,0.22,2.57
"Art Academy","DS",2010,"Misc","Nintendo",0.28,1.68,0.33,0.28,2.57
"Dragon Age: Origins","X360",2009,"Role-Playing","Electronic Arts",1.76,0.56,0.03,0.22,2.57
"Madden NFL 08","PS2",2007,"Sports","Electronic Arts",2.14,0.08,0,0.35,2.57
"Sonic Adventure 2 Battle","GC",2001,"Platform","Sega",1.7,0.59,0.21,0.07,2.56
"Dragon Warrior II","NES",1987,"Role-Playing","Enix Corporation",0.15,0,2.41,0,2.56
"Madden NFL 13","PS3",2012,"Sports","Electronic Arts",2.11,0.23,0,0.22,2.56
"Pokémon Colosseum","GC",2003,"Role-Playing","Nintendo",1.21,0.57,0.7,0.07,2.54
"Deca Sports","Wii",2008,"Sports","Konami Digital Entertainment",1.13,0.87,0.29,0.25,2.54
"Madden NFL 09","X360",2008,"Sports","Electronic Arts",2.21,0.12,0,0.2,2.54
"Space Invaders","2600",null,"Shooter","Atari",2.36,0.14,0,0.03,2.53
"Crazy Taxi","PS2",2001,"Racing","Acclaim Entertainment",1.13,1.12,0.06,0.22,2.52
"Perfect Dark","N64",2000,"Action","Nintendo",1.55,0.75,0.16,0.06,2.52
"Game Party","Wii",2007,"Misc","Midway Games",1.5,0.78,0,0.24,2.52
"Dragon Warrior","NES",1986,"Role-Playing","Capcom",0.49,0,0.52,1.51,2.52
"Tomb Raider (2013)","PS3",2013,"Action","Square Enix",0.6,1.31,0.08,0.52,2.51
"Marvel: Ultimate Alliance","X360",2006,"Role-Playing","Activision",2.29,0.02,0,0.19,2.5
"PES 2009: Pro Evolution Soccer","PS2",2008,"Sports","Konami Digital Entertainment",0.13,0.07,0.26,2.05,2.5
"Mario Party 2","N64",1999,"Misc","Nintendo",1.28,0.14,1.08,0.01,2.5
"Saints Row: The Third","PS3",2011,"Action","THQ",0.86,1.06,0.18,0.39,2.49
"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","XB",2003,"Action","Take-Two Interactive",1.84,0.56,0,0.09,2.49
"LEGO Harry Potter: Years 1-4","Wii",2010,"Action","Warner Bros. Interactive Entertainment",1.29,0.97,0,0.23,2.49
"Mortal Kombat: Deadly Alliance","PS2",2002,"Fighting","Midway Games",1.81,0.52,0,0.15,2.49
"Resistance 2","PS3",2008,"Shooter","Sony Computer Entertainment",1.15,0.85,0.1,0.39,2.48
"Pure","X360",2008,"Racing","Disney Interactive Studios",1.38,0.85,0,0.25,2.48
"Tomb Raider: The Last Revelation","PS",1998,"Action","Eidos Interactive",1.15,1.14,0.06,0.13,2.48
"NBA 2K13","PS3",2012,"Sports","Take-Two Interactive",1.72,0.44,0.05,0.27,2.48
"Rock Band","X360",null,"Misc","Electronic Arts",1.93,0.34,0,0.21,2.48
"NBA 2K14","X360",2013,"Sports","Take-Two Interactive",2.1,0.2,0,0.17,2.47
"Mario Party 4","GC",2002,"Misc","Nintendo",1.13,0.36,0.92,0.07,2.47
"uDraw Studio","Wii",2010,"Misc","THQ",1.67,0.58,0,0.2,2.46
"Midnight Club: Los Angeles","PS3",2008,"Racing","Take-Two Interactive",1.55,0.54,0.05,0.31,2.45
"Final Fantasy V","SNES",1992,"Role-Playing","SquareSoft",0,0,2.43,0.02,2.45
"Final Fantasy Tactics","PS",1997,"Role-Playing","SquareSoft",0.93,0.12,1.34,0.06,2.45
"Twisted Metal 2","PS",1996,"Racing","Sony Computer Entertainment",2.12,0.25,0,0.07,2.44
"Halo: Combat Evolved Anniversary","X360",2011,"Shooter","Microsoft Game Studios",1.44,0.73,0.04,0.22,2.44
"Need for Speed Carbon: Own the City","PSP",2006,"Racing","Electronic Arts",0.87,0.98,0,0.59,2.44
"The Sims: Bustin' Out","PS2",2003,"Simulation","Electronic Arts",1.07,1.19,0,0.18,2.43
"Riven: The Sequel to Myst","PC",1997,"Adventure","Red Orb",1.52,0.82,0,0.1,2.43
"Tom Clancy's Rainbow Six: Vegas 2","X360",2008,"Shooter","Ubisoft",1.56,0.61,0.02,0.23,2.42
"Sonic Adventure","DC",1998,"Platform","Sega",1.26,0.61,0.46,0.08,2.42
"Ice Hockey","NES",1988,"Sports","Nintendo",1.27,0.32,0.78,0.05,2.42
"pro evolution soccer 2011","PS3",2010,"Sports","Konami Digital Entertainment",0.29,1.18,0.54,0.41,2.42
"Dragon Ball Z: Budokai 2","PS2",2003,"Fighting","Atari",1.63,0.22,0.51,0.06,2.41
"ATV Offroad Fury","PS2",2001,"Racing","Sony Computer Entertainment",2.07,0.26,0,0.08,2.41
"Dino Crisis","PS",1998,"Action","Capcom",0.81,0.76,0.7,0.14,2.41
"Minecraft","XOne",2014,"Misc","Microsoft Game Studios",1.43,0.76,0,0.22,2.41
"Need for Speed: ProStreet","PS2",2007,"Racing","Electronic Arts",0.69,0,0.04,1.68,2.41
"Madden NFL 16","XOne",2015,"Sports","Electronic Arts",2.07,0.08,0,0.26,2.4
"Tetris Plus","PS",1996,"Puzzle","JVC",2.1,0.24,0,0.07,2.4
"Pro Wrestling","NES",1987,"Fighting","Nintendo",0.77,0.18,1.42,0.03,2.4
"Theme Hospital","PC",1997,"Strategy","Electronic Arts",2.3,0.1,0,0,2.4
"Frogger's Adventures: Temple of the Frog","GBA",null,"Adventure","Konami Digital Entertainment",2.15,0.18,0,0.07,2.39
"Need for Speed (2015)","PS4",2015,"Racing","Electronic Arts",0.49,1.49,0.05,0.36,2.39
"Zumba Fitness","X360",2010,"Sports","505 Games",1.74,0.48,0,0.18,2.39
"LEGO Indiana Jones: The Original Adventures","Wii",null,"Action","LucasArts",1.54,0.63,0,0.22,2.39
"Monopoly","PC",1994,"Misc","Hasbro Interactive",1.49,0.81,0,0.1,2.39
"Batman: Arkham Origins","PS3",2013,"Action","Warner Bros. Interactive Entertainment",1.07,0.87,0.04,0.4,2.39
"Dead Island","X360",2011,"Action","Deep Silver",1.48,0.71,0,0.2,2.39
"Guitar Hero","PS2",2005,"Misc","RedOctane",1.67,0.61,0.03,0.07,2.38
"LEGO Star Wars: The Complete Saga","PS3",2007,"Action","LucasArts",1.02,0.97,0,0.39,2.38
"Kinect: Disneyland Adventures","X360",2011,"Misc","Microsoft Game Studios",1.73,0.46,0.02,0.18,2.38
"WCW/nWo Revenge","N64",1998,"Fighting","THQ",1.94,0.39,0.03,0.02,2.38
"Bloodborne","PS4",2015,"Action","Sony Computer Entertainment",1,0.76,0.26,0.36,2.38
"NBA 2K15","PS4",2014,"Sports","Take-Two Interactive",1.46,0.54,0.01,0.37,2.38
"Madden NFL 11","PS3",2010,"Sports","Electronic Arts",2.04,0.15,0,0.19,2.38
"Yu-Gi-Oh! The Duelists of the Roses","PS2",2001,"Misc","Konami Digital Entertainment",1.16,0.91,0,0.3,2.38
"Madden NFL 08","X360",2007,"Sports","Electronic Arts",2.18,0.01,0,0.18,2.37
"Half-Life 2","PC",2004,"Shooter","Vivendi Games",2.28,0.02,0.08,0,2.37
"The Incredibles","PS2",2004,"Action","THQ",0.96,1.08,0.04,0.3,2.37
"Tony Hawk's Underground 2","PS2",2004,"Sports","Activision",1.25,0.86,0.01,0.26,2.37
"Madden NFL 10","PS3",2009,"Sports","Electronic Arts",2.03,0.13,0,0.21,2.37
"Kinect Sports: Season Two","X360",2011,"Sports","Microsoft Game Studios",1.38,0.74,0.02,0.22,2.36
"Kirby's Dream Land 2","GB",1995,"Platform","Nintendo",0.69,0.14,1.48,0.05,2.36
"LEGO Harry Potter: Years 1-4","DS",2010,"Action","Warner Bros. Interactive Entertainment",1.07,1.05,0,0.23,2.35
"Donkey Kong Land II","GB",1996,"Platform","Nintendo",1.39,0.48,0.4,0.08,2.35
"Dragon Warrior Monsters","GB",1998,"Role-Playing","Eidos Interactive",0,0,2.34,0.01,2.35
"Midnight Club: Los Angeles","X360",2008,"Racing","Take-Two Interactive",1.68,0.46,0.01,0.2,2.35
"Skylanders SWAP Force","Wii",2013,"Platform","Activision",1.32,0.83,0,0.2,2.34
"WWE SmackDown vs Raw 2008","PS2",2007,"Fighting","THQ",0.92,0,0.01,1.41,2.34
"My Fitness Coach","Wii",2008,"Sports","Ubisoft",1.2,0.9,0,0.24,2.34
"Resident Evil - Code: Veronica X","PS2",2001,"Action","Capcom",1.08,0.7,0.34,0.21,2.34
"The Sims 3","X360",2010,"Simulation","Electronic Arts",1.27,0.86,0,0.2,2.33
"The Legend of Zelda: Majora's Mask 3D","3DS",2015,"Action","Nintendo",1.14,0.54,0.47,0.17,2.32
"NBA 2K16","XOne",2015,"Sports","Take-Two Interactive",1.93,0.14,0,0.24,2.32
"Just Dance Kids","Wii",2010,"Misc","Ubisoft",1.57,0.56,0,0.19,2.32
"Mario Tennis","N64",2000,"Sports","Nintendo",0.78,0.4,1.06,0.07,2.32
"Grand Theft Auto","PS",1997,"Action","Take-Two Interactive",0.79,1.35,0.04,0.14,2.32
"James Bond 007: Everything or Nothing","PS2",2004,"Shooter","Electronic Arts",0.85,1.06,0.09,0.32,2.31
"WarioWare Touched!","DS",2004,"Puzzle","Nintendo",0.52,0.45,1.21,0.13,2.31
"Need For Speed: High Stakes","PS",1999,"Racing","Electronic Arts",1.58,0.64,0,0.09,2.31
"Chrono Trigger","SNES",1995,"Role-Playing","SquareSoft",0.28,0,2.02,0.01,2.31
"Cool Boarders 3","PS",1998,"Sports","989 Studios",1.65,0.46,0.1,0.1,2.31
"LEGO Marvel Super Heroes","X360",2013,"Action","Warner Bros. Interactive Entertainment",1.24,0.85,0,0.21,2.3
"Guild Wars 2","PC",2012,"Action","NCSoft",0.95,1.06,0,0.29,2.3
"Pokemon Ranger: Shadows of Almia","DS",2008,"Role-Playing","Nintendo",0.95,0.54,0.62,0.18,2.3
"Dead Island","PS3",2011,"Action","Deep Silver",1.08,0.75,0.15,0.31,2.29
"Tomb Raider II","PC",1997,"Action","Eidos Interactive",0.91,1.25,0,0.13,2.29
"God of War: Ascension","PS3",2013,"Action","Sony Computer Entertainment",1.23,0.68,0.04,0.34,2.29
"Need for Speed Underground 2","XB",2004,"Racing","Electronic Arts",1.38,0.8,0,0.1,2.28
"Pro Evolution Soccer 2010","PS3",2009,"Sports","Konami Digital Entertainment",0.3,1.27,0.46,0.26,2.28
"Just Dance 2015","Wii",2014,"Misc","Ubisoft",1.11,0.98,0,0.2,2.28
"Yokai Watch Busters","3DS",2015,"Action","Level 5",0,0,2.28,0,2.28
"Mario Bros.","NES",1983,"Platform","Nintendo",0.51,0.12,1.63,0.02,2.28
"FIFA Soccer 09","PS2",2008,"Sports","Electronic Arts",0.38,0.07,0.01,1.82,2.28
"Star Wars: The Force Unleashed","PS3",2008,"Action","LucasArts",1.01,0.9,0,0.37,2.28
"Borderlands 2","PS3",2012,"Shooter","Take-Two Interactive",1.05,0.77,0.1,0.36,2.28
"TOCA Touring Car Championship","PS",1997,"Racing","Codemasters",0.07,2,0.02,0.18,2.28
"Paper Mario: Sticker Star","3DS",2012,"Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27
"Sonic's Ultimate Genesis Collection","PS3",2009,"Misc","Sega",1.34,0.62,0,0.31,2.27
"Super Monkey Ball: Banana Blitz","Wii",2006,"Misc","Sega",1.07,0.92,0.04,0.24,2.27
"Kirby: Nightmare in Dream Land","GBA",2002,"Platform","Nintendo",1.22,0.1,0.91,0.04,2.27
"Wario Land 4","GBA",2001,"Platform","Nintendo",0.9,0.73,0.54,0.09,2.26
"Guitar Hero III: Legends of Rock","PS3",2007,"Misc","Activision",1.4,0.54,0.02,0.3,2.26
"Call of Duty 3","Wii",null,"Shooter","Activision",1.19,0.84,0,0.23,2.26
"Resident Evil 4","Wii",2007,"Action","Capcom",1.34,0.57,0.14,0.21,2.26
"Minecraft","PSV",2014,"Misc","Sony Computer Entertainment Europe",0.28,0.79,0.87,0.32,2.25
"Onimusha 2: Samurai's Destiny","PS2",2002,"Adventure","Capcom",0.62,0.44,1.06,0.13,2.25
"Cool Boarders 2","PS",1997,"Sports","UEP Systems",1.52,0.46,0.2,0.08,2.25
"Paper Mario: The Thousand-Year Door","GC",2004,"Role-Playing","Nintendo",1.48,0.25,0.46,0.06,2.25
"Madden NFL 12","PS3",2011,"Sports","Electronic Arts",1.93,0.15,0,0.17,2.25
"Monster Hunter Tri","Wii",2009,"Role-Playing","Nintendo",0.67,0.41,1.05,0.11,2.25
"Dissidia: Final Fantasy","PSP",2008,"Fighting","Square Enix",0.51,0.51,0.91,0.32,2.25
"Sonic Advance","GBA",2001,"Platform","Sega",1.19,0.71,0.22,0.13,2.24
"Spyro: Season of Ice","GBA",2001,"Platform","Vivendi Games",1.29,0.83,0,0.11,2.23
"Teenage Mutant Ninja Turtles II: The Arcade Game","NES",1990,"Action","Konami Digital Entertainment",1.74,0.25,0.21,0.03,2.23
"LEGO Indiana Jones: The Original Adventures","DS",2008,"Action","Activision",1.42,0.61,0,0.21,2.23
"Dance Dance Revolution X2","PS2",2009,"Simulation","Konami Digital Entertainment",1.09,0.85,0,0.28,2.23
"New Super Luigi U","WiiU",2013,"Platform","Nintendo",1.27,0.62,0.18,0.16,2.22
"Prince of Persia: The Sands of Time","PS2",2003,"Action","Ubisoft",0.88,1.03,0,0.31,2.22
"Scribblenauts","DS",2009,"Puzzle","Warner Bros. Interactive Entertainment",1.71,0.32,0.02,0.18,2.22
"The Legend of Zelda: Link's Awakening DX","GB",1998,"Adventure","Nintendo",1,0.63,0.45,0.13,2.22
"Need for Speed: Hot Pursuit","X360",2010,"Racing","Electronic Arts",1.03,0.98,0,0.21,2.22
"BioShock 2","X360",2010,"Shooter","Take-Two Interactive",1.45,0.55,0.02,0.19,2.21
"Assassin's Creed IV: Black Flag","XOne",2013,"Action","Ubisoft",1.47,0.55,0,0.19,2.21
"Devil May Cry 3: Dante's Awakening Special Edition","PS2",2006,"Action","Capcom",1.06,0.82,0.05,0.28,2.21
"Rock Band 2","X360",2008,"Misc","Electronic Arts",1.78,0.24,0,0.18,2.2
"Frogger","2600",1981,"Action","Parker Bros.",2.06,0.12,0,0.02,2.2
"Guitar Hero II","X360",2007,"Misc","Activision",2.01,0.02,0,0.17,2.2
"Wario Land 3","GB",2000,"Platform","Nintendo",1.11,0.51,0.34,0.23,2.2
"Pro Yakyuu Family Stadium","NES",1986,"Sports","Namco Bandai Games",0.15,0,2.05,0,2.2
"Sonic Unleashed","Wii",2008,"Platform","Sega",1.28,0.68,0.02,0.21,2.2
"High School Musical: Makin' the Cut!","DS",2007,"Puzzle","Disney Interactive Studios",1.06,0.91,0,0.23,2.2
"Pro Evolution Soccer 2012","PS3",2011,"Action","Konami Digital Entertainment",0.34,0.97,0.55,0.33,2.19
"Saints Row","X360",2006,"Action","THQ",1.17,0.78,0.02,0.22,2.19
"Star Wars: Knights of the Old Republic","XB",2003,"Role-Playing","Activision",1.68,0.44,0,0.08,2.19
"Kirby's Pinball Land","GB",1992,"Misc","Nintendo",0.87,0.17,1.1,0.05,2.19
"Donkey Kong Country","GB",2000,"Platform","Nintendo",1.04,0.72,0.3,0.13,2.19
"Hitman: Absolution","PS3",2012,"Action","Square Enix",0.59,1.07,0.07,0.45,2.19
"Yu-Gi-Oh: Duel Monsters 4","GB",2000,"Role-Playing","Konami Digital Entertainment",0,0,2.17,0.01,2.18
"ATV Offroad Fury 2","PS2",2002,"Racing","THQ",1.92,0.2,0,0.06,2.18
"Forza Motorsport 5","XOne",2013,"Racing","Microsoft Game Studios",1.21,0.78,0.01,0.17,2.18
"Madden NFL 25","X360",2013,"Sports","Electronic Arts",1.97,0.07,0,0.13,2.18
"Pokemon Ranger","DS",2006,"Role-Playing","Nintendo",1.29,0.04,0.73,0.12,2.18
"Mario & Luigi: Superstar Saga","GBA",2003,"Role-Playing","Nintendo",1.48,0.17,0.47,0.06,2.17
"Final Fantasy XIII","X360",2010,"Role-Playing","Square Enix",1.27,0.68,0.01,0.2,2.17
"Star Wars: Rogue Squadron","N64",1998,"Simulation","Nintendo",1.6,0.46,0.08,0.03,2.17
"Tennis","NES",1984,"Sports","Nintendo",0.48,0.11,1.56,0.02,2.17
"The Sims: House Party","PC",2001,"Simulation","Electronic Arts",1.23,0.83,0,0.1,2.16
"Your Shape featuring Jenny McCarthy","Wii",2009,"Sports","Ubisoft",1.51,0.47,0,0.18,2.16
"Syphon Filter 2","PS",2000,"Shooter","Sony Computer Entertainment",1.5,0.55,0.02,0.08,2.15
"Tom Clancy's Rainbow Six: Siege","PS4",2015,"Shooter","Ubisoft",0.54,1.16,0.13,0.32,2.15
"Volleyball","NES",1987,"Sports","Nintendo",0.14,0.03,1.98,0,2.15
"FIFA 15","XOne",2014,"Sports","Electronic Arts",0.6,1.41,0,0.14,2.15
"Call of Duty: Roads to Victory","PSP",2007,"Shooter","Activision",0.52,1.03,0,0.59,2.14
"Super Mario RPG: Legend of the Seven Stars","SNES",1996,"Role-Playing","Nintendo",0.66,0,1.45,0.03,2.14
"Mahjong","NES",1983,"Misc","Nintendo",0.01,0,2.13,0,2.14
"R.C. Pro-Am","NES",1988,"Racing","Nintendo",1.47,0.38,0.19,0.1,2.14
"SimCity 2000","PC",1992,"Simulation","Maxis",1.2,0.84,0,0.1,2.14
"Demon Attack","2600",1981,"Shooter","Imagic",1.99,0.12,0,0.02,2.13
"Dance Dance Revolution Extreme","PS2",2004,"Simulation","Konami Digital Entertainment",1.04,0.81,0,0.27,2.13
"Tetris DS","DS",2006,"Puzzle","Nintendo",0.64,0.07,1.35,0.08,2.13
"Final Fantasy Tactics Advance","GBA",2003,"Role-Playing","SquareSoft",0.82,0.37,0.89,0.05,2.13
"Far Cry: Primal","PS4",2016,"Action","Ubisoft",0.59,1.16,0.06,0.33,2.13
"Toy Story 3: The Video Game","DS",2010,"Action","Disney Interactive Studios",0.93,0.97,0.02,0.21,2.12
"Final Fantasy III","DS",2006,"Role-Playing","Square Enix",0.91,0.05,1.07,0.09,2.12
"Kirby's Epic Yarn","Wii",2010,"Platform","Nintendo",1.47,0.09,0.45,0.11,2.12
"Project Gotham Racing","XB",2001,"Racing","Microsoft Game Studios",1.37,0.61,0.05,0.09,2.12
"Golf","GB",1989,"Sports","Nintendo",0.83,0.33,0.92,0.04,2.12
"NBA 2K12","PS3",2011,"Sports","Take-Two Interactive",1.61,0.27,0.05,0.18,2.11
"Borderlands","PS3",2009,"Shooter","Take-Two Interactive",1.2,0.62,0,0.29,2.11
"Tony Hawk's Pro Skater","N64",2000,"Sports","Activision",1.68,0.4,0,0.03,2.11
"PES 2009: Pro Evolution Soccer","PS3",2008,"Sports","Konami Digital Entertainment",0.11,1.34,0.4,0.26,2.11
"Need for Speed: Hot Pursuit 2","PS2",2002,"Racing","Electronic Arts",1.68,0.31,0.02,0.09,2.11
"Mario Sports Mix","Wii",2010,"Sports","Nintendo",0.9,0.45,0.63,0.13,2.11
"Rock Band","Wii",null,"Misc","MTV Games",1.35,0.56,0,0.2,2.11
"Dynasty Warriors 4","PS2",2003,"Action","Tecmo Koei",0.63,0.21,1.13,0.13,2.11
"Mortal Kombat","X360",2011,"Fighting","Warner Bros. Interactive Entertainment",1.63,0.33,0,0.15,2.11
"Parasite Eve","PS",1998,"Role-Playing","SquareSoft",0.94,0.07,1.05,0.04,2.1
"Scooby-Doo! Night of 100 Frights","PS2",2002,"Platform","THQ",1.17,0.72,0,0.22,2.1
"Project Gotham Racing (JP weekly sales)","XB",2002,"Action","Microsoft Game Studios",1.54,0.44,0.04,0.07,2.1
"Need for Speed: Most Wanted 5-1-0","PSP",2005,"Racing","Electronic Arts",1.77,0.13,0.02,0.18,2.1
"Portal 2","X360",2011,"Shooter","Valve Software",1.41,0.51,0.01,0.17,2.1
"Devil May Cry 3: Dante's Awakening","PS2",2005,"Action","Capcom",0.99,0.63,0.29,0.19,2.09
"Derby Stallion","PS",1997,"Sports","ASCII Entertainment",0,0,1.96,0.14,2.09
"Dead Rising","X360",2006,"Action","Capcom",1.16,0.65,0.08,0.2,2.09
"Finding Nemo","PS2",2003,"Action","THQ",1.26,0.6,0.05,0.18,2.09
"NBA 2K11","X360",2010,"Action","Take-Two Interactive",1.84,0.12,0.01,0.13,2.09
"Wipeout: The Game","Wii",2009,"Misc","Mindscape",1.97,0,0,0.12,2.09
"The Sims 2: Pets","DS",2006,"Simulation","Electronic Arts",0.92,0.94,0,0.22,2.09
"Battlefield: Hardline","PS4",2015,"Shooter","Electronic Arts",0.7,0.93,0.14,0.32,2.09
"Metal Gear Solid: Peace Walker","PSP",2010,"Action","Konami Digital Entertainment",0.46,0.42,0.96,0.25,2.09
"World of Warcraft: Cataclysm","PC",2010,"Role-Playing","Activision",1.77,0.32,0,0,2.08
"Tetris Worlds","PS2",2002,"Puzzle","THQ",1.11,0.71,0,0.27,2.08
"Need For Speed: Undercover","PS3",2008,"Racing","Electronic Arts",0.63,1.02,0.05,0.39,2.08
